Player,,Loan: start/end,Age,Nationality,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Aaron Connolly,Out,No,23,Ireland,Centre-Forward,"4,000,000",Brighton,"Premier League, England",Top,England,First Tier,Hull City,"Championship, England",Europe,England,Second Tier,,1350000,1
Aarón Escandell,In,No,27,Spain,Goalkeeper,"1,000,000",FC Cartagena,"LaLiga2, Spain",Europe,Spain,Second Tier,UD Las Palmas,"LaLiga, Spain",Top,Spain,First Tier,,400000,2
Aarón Martín,Inside,No,26,Spain,Left-Back,"7,000,000",1.FSV Mainz 05,"Bundesliga, German",Top,Germany,First Tier,Genoa,"Serie A, Italy",Top,Italy,First Tier,,0,3
Aaron Ramsey,In,No,20,England,Attacking Midfield,"15,000,000",Aston Villa U21,"Premier League 2, England",Europe,England,Second Tier,Burnley,"Premier League, England",Top,England,First Tier,,16450000,4
Aaron Ramsey,Out,No,32,England,Central Midfield,"2,500,000",OGC Nice,"Ligue 1, France",Top,France,First Tier,Cardiff,"Championship, England",Europe,England,Second Tier,,0,5
Abakar Sylla,In,No,20,Cote d'Ivoire,Centre-Back,"8,000,000",Club Brugge,"Jupiler Pro League, Belgium",Europe,Belgium,First Tier,R. Strasbourg,"Ligue 1, France",Top,France,First Tier,,20000000,6
Abdallah Sima,In,End,22,Senegal,Right Winger,"6,000,000",Angers SCO,"Ligue 2, France",Europe,France,Second Tier,Brighton,"Premier League, England",Top,England,First Tier,"Jun 30, 2023",0,7
Abdallah Sima,In,End,22,Senegal,Right Winger,"6,000,000",Rangers,Scottish Premiership,Europe,Scotland,First Tier,Brighton,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,8
Abdallah Sima,Out,Start,22,Senegal,Right Winger,"6,000,000",Brighton,"Premier League, England",Top,England,First Tier,Rangers,Scottish Premiership,Europe,Scotland,First Tier,,0,9
Abdallahi Mahmoud,In,End,23,Mauritania,Central Midfield,"500,000",NK Istra,"SuperSport HNL, Croatia",Europe,Croatia,First Tier,Alavés,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,10
Abdallahi Mahmoud,Out,Start,23,Mauritania,Central Midfield,"500,000",Alavés,"LaLiga, Spain",Top,Spain,First Tier,AC Bellinzona,"Challenge League, Swiss",Europe,Switzerland,Second Tier,,0,11
Abde Ezzalzouli,Inside,End,21,Morocco,Left Winger,"15,000,000",CA Osasuna,"LaLiga, Spain",Top,Spain,First Tier,Barcelona,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,12
Abde Ezzalzouli,Inside,No,21,Morocco,Left Winger,"15,000,000",Barcelona,"LaLiga, Spain",Top,Spain,First Tier,Real Betis,"LaLiga, Spain",Top,Spain,First Tier,,7500000,13
Abdelhamid Sabiri,Out,Start,26,Morocco,Attacking Midfield,"2,500,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,Al-Fayha,Saudi Pro League,Asia,Saudi Arabia,First Tier,,300000,14
Abdelwahed Wahib,Out,No,23,Morocco,Left-Back,"400,000",Le Havre AC,"Ligue 1, France",Top,France,First Tier,Concarneau,"Ligue 2, France",Europe,France,Second Tier,,?,15
Abdou Diallo,Inside,End,27,Senegal,Centre-Back,"10,000,000",RB Leipzig,"Bundesliga, German",Top,Germany,First Tier,Paris SG,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,16
Abdou Diallo,Out,No,27,Senegal,Centre-Back,"10,000,000",Paris SG,"Ligue 1, France",Top,France,First Tier,Al-Arabi SC,Qatar Stars League,Asia,Qatar,First Tier,,15000000,17
Abdou Harroui,Inside,No,25,Morocco,Central Midfield,"2,700,000",Sassuolo,"Serie A, Italy",Top,Italy,First Tier,Frosinone,"Serie A, Italy",Top,Italy,First Tier,,2500000,18
Abdoul Kader Bamba,In,End,29,France,Right Winger,"900,000",Saint-Étienne,"Ligue 2, France",Europe,France,Second Tier,FC Nantes,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,19
Abdoulaye Coulibaly,In,No,21,France,Left Winger,"150,000",Saint-Étienne B,"Championnat National 3 - Groupe K, France",Europe,France,Fifth Tier,Clermont Foot,"Ligue 1, France",Top,France,First Tier,,0,21
Abdoulaye Coulibaly,Out,Start,21,France,Left Winger,"150,000",Clermont Foot,"Ligue 1, France",Top,France,First Tier,FC Biel-Bienne,"Promotion League, Swiss",Europe,Switzerland,Third Tier,,0,20
Abdoulaye Ndiaye,In,End,21,Senegal,Centre-Back,"1,500,000",SC Bastia,"Ligue 2, France",Europe,France,Second Tier,Olympique Lyon,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,22
Abdoulaye Ndiaye,Out,No,21,Senegal,Centre-Back,"1,500,000",Olympique Lyon,"Ligue 1, France",Top,France,First Tier,Troyes,"Ligue 2, France",Europe,France,Second Tier,,3500000,23
Abdoulaye Touré,Inside,No,29,Guinea,Defensive Midfield,"1,300,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,Le Havre AC,"Ligue 1, France",Top,France,First Tier,,0,24
Abdukodir Khusanov,In,No,19,Uzbekistan,Centre-Back,"400,000",Energetik-BGU,"Vysheyshaya Liga, Belarus",Europe,Belarus,First Tier,Lens,"Ligue 1, France",Top,France,First Tier,,100000,25
Abdul Rahman Baba,Out,No,29,Ghana,Left-Back,"1,200,000",Chelsea,"Premier League, England",Top,England,First Tier,PAOK Salonika,"Super League 1, Greece",Europe,Greece,First Tier,,0,26
Achraf Laâziri,In,No,19,Morocco,Left-Back,"250,000",Olymp. Lyon B,"Championnat National 3 - Groupe K, France",Europe,France,Fifth Tier,Olympique Lyon,"Ligue 1, France",Top,France,First Tier,,0,27
Adam Buksa,Out,Start,27,Poland,Centre-Forward,"5,000,000",Lens,"Ligue 1, France",Top,France,First Tier,Antalyaspor,"Süper Lig, Turkey",Asia,Turkey,First Tier,,0,28
Adama Bojang,In,No,19,The Gambia,Centre-Forward,"150,000",Steve Biko FC,No league,-,-,No tier,Stade Reims,"Ligue 1, France",Top,France,First Tier,,?,29
Adama Diakité,In,End,23,France,Left Winger,"150,000",FC Biel-Bienne,"Promotion League, Swiss",Europe,Switzerland,Third Tier,Clermont Foot,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,30
Adama Diakité,Out,Start,24,France,Left Winger,"150,000",Clermont Foot,"Ligue 1, France",Top,France,First Tier,Trélissac FC,"Championnat National 2 - Groupe B, France",Europe,France,Fourth Tier,,0,31
Adama Sane,Out,No,23,Senegal,Centre-Forward,"100,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,Gzira Utd.,"Premier League, Malta",Europe,Malta,First Tier,,0,32
